institution,degree,field,honors,additional
"New York University","M.Sc.","Cybersecurity","Academic Excellence Award · Cyber Fellowship","NSA Cyber Operations & Defense Certificates|NYU Cyber Fellows Ambassador"
"Columbia University","M.Sc.","Negotiation & Conflict Resolution","","Research Fellow, Earth Institute (Advanced Consortium for Cooperation, Conflict, and Complexity)"
"Hamilton College","B.A.","Economics, Chinese Culture & Language","","Phi Sigma Iota Honor Society"
