key,value
eyebrow,"Industry Assistant Professor of Computer Science & Engineering"
title,"Cybersecurity Researcher, Tech Entrepreneur & Educator"
tagline,"I am an Industry Assistant Professor at <strong>NYU Tandon School of Engineering</strong> specializing in cybersecurity, hardware security, and responsible AI. With 20+ years in technology and entrepreneurship, I co-founded the crowdfunding platform <strong>RocketHub</strong> (acquired 2015) and served as Managing Partner at early stage venture fund <strong>Stacked Capital</strong>. My interdisciplinary work spans hardware security, AI ethics, governance of emerging technologies, and conflict resolution; combining technical expertise with policy experience, including expert testimony before U.S. Congress on the JOBS Act."
image_src,"headshot2.png"
image_alt,"Alon Hillel-Tuch"
cta_primary_text,"Contact"
cta_primary_link,"#contact"
cta_secondary_text,"View Faculty Page"
cta_secondary_link,"https://engineering.nyu.edu/faculty/alon-hillel-tuch"
chips,"Cybersecurity|Hardware Security|Ethical AI|AI Governance|Applied Cryptography|Entrepreneurship|Tech Policy|Venture Capital"
